Cyber Hunters, Alice Smith;David Johnson;Peggy Brown,1
Shadow Warriors, Eve Garcia;Oscar Martinez,2
Code Breakers, Bob Davis;Nina Clark;Victor Hall,3
Binary Bandits, Trent Williams;Alice Lopez;Eve Smith,4
Firewall Falcons, Wendy Brown;Victor Garcia,5
Trojan Ninjas, Nina Johnson;Trent Clark;David Miller,6
Crypto Knights, Peggy Martinez;Mallory Jones,7
Packet Predators, Oscar Davis;Alice Lopez;Wendy Brown,8
Data Defenders, Charlie Martinez;Victor Hall,9
Red Team Titans, Nina Miller;Eve Smith;Bob Williams,10
Blue Team Blazers, David Lopez;Oscar Martinez,11
Phishing Phantoms, Mallory Hall;Wendy Clark;Victor Johnson,12
Exploit Experts, Peggy Garcia;Nina Jones,13
Malware Marauders, Bob Brown;Charlie Martinez;Alice Clark,14
Steganography Squad, Trent Smith;Oscar Williams;Victor Lopez,15
Hackathon Heroes, Wendy Miller;David Johnson,16
